"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AZ,Arizona,10/1/2018,Y,U,Y,"111,445",,N/A,,"111,445",,,,,,,,,,"1,693,508",,14.2417,-170.7197,"(14.2417, -170.7197)",1591124,,102384,
AR,Arkansas,10/1/2018,Y,P,N,"20,474",,N/A,,"20,474",,,,,,,,429908,,"868,402",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",784671,Includes Private Option Enrollees,83731,
AR,Arkansas,10/1/2018,Y,U,Y,"20,474",,N/A,,"20,474",,,,,,,,435689,,"874,102",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",788435,Includes Private Option Enrollees,85667,
CA,California,10/1/2018,Y,P,N,"210,104",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"210,104",,"162,826",Does Not Include All Medicaid Determinations Made At Application,"12,766",Does Not Include All CHIP Determinations Made At Application,"175,592",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4980110,,"11,908,665",,33.7712,-111.3877,"(33.7712, -111.3877)",10612204,,1296461,
CA,California,10/1/2018,Y,U,Y,"210,104",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"210,104",,"162,826",Does Not Include All Medicaid Determinations Made At Application,"12,766",Does Not Include All CHIP Determinations Made At Application,"175,592",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5012998,,"11,984,993",,33.7712,-111.3877,"(33.7712, -111.3877)",10679957,,1305036,
CO,Colorado,10/1/2018,Y,P,N,,,,,,,"21,765",,386,,"22,151",,595111,,"1,327,196",,36.17,-119.7462,"(36.17, -119.7462)",1246902,,80294,
CO,Colorado,10/1/2018,Y,U,Y,,,,,,,"21,765",,386,,"22,151",,595111,,"1,327,196",,36.17,-119.7462,"(36.17, -119.7462)",1246902,,80294,
CT,Connecticut,10/1/2018,Y,P,N,"5,561",Includes Duplicates,12002,Includes Duplicates; Includes Renewals and/or Redeterminations,"17,563",Includes Duplicates,"15,693",Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,"16,058",Includes Renewals and/or Redeterminations,330514,,"847,899",,39.0646,-105.3272,"(39.0646, -105.3272)",828957,,18942,
CT,Connecticut,10/1/2018,Y,U,Y,"5,561",Includes Duplicates,12002,Includes Duplicates; Includes Renewals and/or Redeterminations,"17,563",Includes Duplicates,"15,693",Includes Renewals and/or Redeterminations,365,Includes Renewals and/or Redeterminations,"16,058",Includes Renewals and/or Redeterminations,330514,,"847,899",,39.0646,-105.3272,"(39.0646, -105.3272)",828957,,18942,
DE,Delaware,10/1/2018,Y,P,N,"3,243",,N/A,,"3,243",,"5,206",,860,,"6,066",,105626,,"248,735",,38.8964,-77.0262,"(38.8964, -77.0262)",237430,,11305,
DE,Delaware,10/1/2018,Y,U,Y,"3,243",,N/A,,"3,243",,"5,206",,860,,"6,066",,105626,,"248,735",,38.8964,-77.0262,"(38.8964, -77.0262)",237430,,11305,
DC,District of Columbia,10/1/2018,Y,P,N,"1,374",Includes SBM data,1866,,"3,240",Includes Renewals and/or Redeterminations,"3,739",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,739",,,,"258,658",,41.5834,-72.7622,"(41.5834, -72.7622)",242393,,16265,
DC,District of Columbia,10/1/2018,Y,U,Y,"1,374",Includes SBM data,1866,,"3,240",Includes Renewals and/or Redeterminations,"3,739",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,739",,,,"258,658",,41.5834,-72.7622,"(41.5834, -72.7622)",242393,,16265,
FL,Florida,10/1/2018,N,P,N,"288,896",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"288,896",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"167,352",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"21,845",,"189,197",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2501596,,"4,234,161",,39.3498,-75.5148,"(39.3498, -75.5148)",4009300,,224861,
FL,Florida,10/1/2018,N,U,Y,"288,896",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"288,896",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"167,352",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"21,845",,"189,197",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2501596,,"4,234,161",,39.3498,-75.5148,"(39.3498, -75.5148)",4009300,,224861,
GA,Georgia,10/1/2018,N,P,N,"47,268",,N/A,,"47,268",,"31,723",,"1,149",,"32,872",,1210553,,"1,774,913",,27.8333,-81.717,"(27.8333, -81.717)",1568229,,206684,
GA,Georgia,10/1/2018,N,U,Y,"47,268",,N/A,,"47,268",,"31,723",,"1,149",,"32,872",,1237338,,"1,813,129",,27.8333,-81.717,"(27.8333, -81.717)",1603555,,209574,
HI,Hawaii,10/1/2018,Y,P,N,"5,316",,N/A,,"5,316",,"5,709",,399,,"6,108",,141208,,"332,723",,32.9866,-83.6487,"(32.9866, -83.6487)",307731,,24992,
HI,Hawaii,10/1/2018,Y,U,Y,"5,316",,N/A,,"5,316",,"5,709",,399,,"6,108",,141425,,"332,940",,32.9866,-83.6487,"(32.9866, -83.6487)",307944,,24996,
ID,Idaho,10/1/2018,N,P,N,"9,046",,,,"9,046",,"15,006",,"1,151",,"16,157",,199845,,"277,352",,42.0046,-93.214,"(42.0046, -93.214)",253042,,24310,
ID,Idaho,10/1/2018,N,U,Y,"8,986",,,,"8,986",,"13,273",,"1,049",,"14,322",,200757,,"278,870",,42.0046,-93.214,"(42.0046, -93.214)",254492,,24378,
IL,Illinois,10/1/2018,Y,P,N,"67,479",,N/A,,"67,479",,"39,943",,"13,106",,"53,049",,1372932,,"2,901,589",,44.2394,-114.5103,"(44.2394, -114.5103)",2659284,,242305,
IL,Illinois,10/1/2018,Y,U,Y,"67,479",,N/A,,"67,479",,"39,943",,"13,106",,"53,049",,1380968,,"2,922,367",,44.2394,-114.5103,"(44.2394, -114.5103)",2678948,,243419,
IN,Indiana,10/1/2018,Y,P,N,"92,925",,N/A,,"92,925",,"43,929",,"4,308",,"48,237",,792555,,"1,449,920",,40.3363,-89.0022,"(40.3363, -89.0022)",1339346,,110574,
IN,Indiana,10/1/2018,Y,U,Y,"92,925",,N/A,,"92,925",,"43,929",,"4,308",,"48,237",,804838,,"1,459,431",,40.3363,-89.0022,"(40.3363, -89.0022)",1346653,,112778,
IA,Iowa,10/1/2018,Y,P,N,"15,709",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"15,709",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,487",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,487",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,332037,,"685,328",,21.1098,-157.5311,"(21.1098, -157.5311)",614158,,71170,
IA,Iowa,10/1/2018,Y,U,Y,"16,114",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"16,114",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"1,487",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"1,487",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,334596,,"690,215",,21.1098,-157.5311,"(21.1098, -157.5311)",618877,,71338,
KS,Kansas,10/1/2018,N,P,N,,,N/A,,,,,,,,,,269713,,"390,123",,39.8647,-86.2604,"(39.8647, -86.2604)",336419,,53704,
KS,Kansas,10/1/2018,N,U,Y,,,N/A,,,,,,,,,,269713,,"390,123",,39.8647,-86.2604,"(39.8647, -86.2604)",336419,,53704,
KY,Kentucky,10/1/2018,Y,P,N,"10,501",,,,"10,501",,,,,,,,564298,,"1,220,355",,38.5111,-96.8005,"(38.5111, -96.8005)",1132008,,88347,
KY,Kentucky,10/1/2018,Y,U,Y,"10,501",,,,"10,501",,,,,,,,564298,,"1,220,355",,38.5111,-96.8005,"(38.5111, -96.8005)",1132008,,88347,
LA,Louisiana,10/1/2018,Y,P,N,"25,590",,N/A,,"25,590",,"33,161",,"2,317",,"35,478",,730060,,"1,462,452",,37.669,-84.6514,"(37.669, -84.6514)",1331887,,130565,
LA,Louisiana,10/1/2018,Y,U,Y,"25,590",,N/A,,"25,590",,"33,161",,"2,317",,"35,478",,730060,,"1,462,452",,37.669,-84.6514,"(37.669, -84.6514)",1331887,,130565,
ME,Maine,10/1/2018,N,P,N,"5,628",,N/A,,"5,628",,"10,403",,694,,"11,097",,106270,,"259,460",,39.0724,-76.7902,"(39.0724, -76.7902)",249233,,10227,
ME,Maine,10/1/2018,N,U,Y,"5,628",,N/A,,"5,628",,"10,403",,694,,"11,097",,106270,,"259,460",,39.0724,-76.7902,"(39.0724, -76.7902)",249233,,10227,
MD,Maryland,10/1/2018,Y,P,N,"8,517",,102299,Includes Renewals and/or Redeterminations,"110,816",Includes Renewals and/or Redeterminations,"30,072",Includes Renewals and/or Redeterminations,"3,782",Includes Renewals and/or Redeterminations,"33,854",Includes Renewals and/or Redeterminations,613096,,"1,302,049",,42.2373,-71.5314,"(42.2373, -71.5314)",1147586,,154463,
MD,Maryland,10/1/2018,Y,U,Y,"9,023",,102299,Includes Renewals and/or Redeterminations,"111,322",Includes Renewals and/or Redeterminations,"30,072",Includes Renewals and/or Redeterminations,"3,782",Includes Renewals and/or Redeterminations,"33,854",Includes Renewals and/or Redeterminations,617339,,"1,311,435",,42.2373,-71.5314,"(42.2373, -71.5314)",1157010,,154425,
MA,Massachusetts,10/1/2018,Y,P,N,"17,740",,1800,,"19,540",,,,,,,,679538,,"1,593,200",,31.1801,-91.8749,"(31.1801, -91.8749)",1409064,,184136,
MA,Massachusetts,10/1/2018,Y,U,Y,"18,862",,2420,,"21,282",,,,,,,,687698,,"1,613,903",,31.1801,-91.8749,"(31.1801, -91.8749)",1425151,,188752,
MI,Michigan,10/1/2018,Y,P,N,"54,655",,N/A,,"54,655",,"46,476",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,575",,"48,051",,941370,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,322,414",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2264883,Does Not Include All Full-Benefit Medicaid enrollees,57531,
MI,Michigan,10/1/2018,Y,U,Y,"54,656",,N/A,,"54,656",,"46,494",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,573",,"48,067",,952378,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,346,180",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2287591,Does Not Include All Full-Benefit Medicaid enrollees,58589,
MN,Minnesota,10/1/2018,Y,P,N,"5,016",,16989,,"22,005",,"18,117",,58,,"18,175",,530737,,"1,057,893",,43.3504,-84.5603,"(43.3504, -84.5603)",1056759,,1134,
MN,Minnesota,10/1/2018,Y,U,Y,"6,367",,19044,,"25,411",,"18,117",,58,,"18,175",,538526,,"1,073,312",,43.3504,-84.5603,"(43.3504, -84.5603)",1072090,,1222,
MS,Mississippi,10/1/2018,N,P,N,"18,609",,N/A,,"18,609",,"12,150",,564,,"12,714",,423354,,"634,686",,38.4623,-92.302,"(38.4623, -92.302)",559518,,75168,
MS,Mississippi,10/1/2018,N,U,Y,"18,609",,N/A,,"18,609",,"12,150",,564,,"12,714",,432532,,"647,342",,38.4623,-92.302,"(38.4623, -92.302)",571375,,75967,
MO,Missouri,10/1/2018,N,P,N,"21,395",,N/A,,"21,395",,"11,024","Includes CHIP; Count is of Households, Not Individuals",,,"11,024","Count is of Households, Not Individuals",579304,,"908,929",,45.7326,-93.9196,"(45.7326, -93.9196)",877344,,31585,
MO,Missouri,10/1/2018,N,U,Y,"21,395",,N/A,,"21,395",,"11,024","Includes CHIP; Count is of Households, Not Individuals",,,"11,024","Count is of Households, Not Individuals",579304,,"908,929",,45.7326,-93.9196,"(45.7326, -93.9196)",877344,,31585,
MT,Montana,10/1/2018,Y,P,N,"3,761",,N/A,,"3,761",,"3,952",,329,,"4,281",,127470,,"277,708",,14.8058,145.5505,"(14.8058, 145.5505)",249880,,27828,
MT,Montana,10/1/2018,Y,U,Y,"3,930",,N/A,,"3,930",,"3,952",,329,,"4,281",,128428,,"279,846",,14.8058,145.5505,"(14.8058, 145.5505)",251757,,28089,
NE,Nebraska,10/1/2018,N,P,N,"6,603",,N/A,,"6,603",,"7,521",,987,,"8,508",,162193,,"243,745",,35.6411,-79.8431,"(35.6411, -79.8431)",210005,,33740,
NE,Nebraska,10/1/2018,N,U,Y,"6,603",,N/A,,"6,603",,"7,521",,987,,"8,508",,164671,,"247,560",,35.6411,-79.8431,"(35.6411, -79.8431)",213311,,34249,
NV,Nevada,10/1/2018,Y,P,N,"20,107",Includes Renewals and/or Redeterminations,N/A,,"20,107",Includes Renewals and/or Redeterminations,"12,486","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",62,,"12,548",,306932,,"644,810",,40.314,-74.5089,"(40.314, -74.5089)",603420,,41390,
NV,Nevada,10/1/2018,Y,U,Y,"20,107",Includes Renewals and/or Redeterminations,N/A,,"20,107",Includes Renewals and/or Redeterminations,"12,486","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",62,,"12,548",,306932,,"644,810",,40.314,-74.5089,"(40.314, -74.5089)",603420,,41390,
NH,New Hampshire,10/1/2018,Y,P,N,"8,428",,N/A,,"8,428",,"5,003",,493,,"5,496",,89719,,"180,843",,47.5362,-99.793,"(47.5362, -99.793)",166366,,14477,
NH,New Hampshire,10/1/2018,Y,U,Y,"8,428",,N/A,,"8,428",,"5,003",,493,,"5,496",,90965,,"183,733",,47.5362,-99.793,"(47.5362, -99.793)",169012,,14721,
NJ,New Jersey,10/1/2018,Y,P,N,"33,792",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"33,792",Does Not Include All Non-MAGI Applications,"10,517",Does Not Include All Medicaid Determinations Made At Application,"4,580",Does Not Include All CHIP Determinations Made At Application,"15,097",Does Not Include All Medicaid Determinations Made At Application,825294,,"1,734,684",,41.1289,-98.2883,"(41.1289, -98.2883)",1522303,,212381,
NJ,New Jersey,10/1/2018,Y,U,Y,"33,792",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"33,792",Does Not Include All Non-MAGI Applications,"10,517",Does Not Include All Medicaid Determinations Made At Application,"4,580",Does Not Include All CHIP Determinations Made At Application,"15,097",Does Not Include All Non-MAGI Determinations Made At Application,834750,,"1,755,273",,41.1289,-98.2883,"(41.1289, -98.2883)",1541658,,213615,
NM,New Mexico,10/1/2018,Y,P,N,"12,783",,N/A,,"12,783",,"21,628",,"1,409",,"23,037",,330235,,"726,316",,43.4108,-71.5653,"(43.4108, -71.5653)",689935,,36381,
NM,New Mexico,10/1/2018,Y,U,Y,"12,783",,N/A,,"12,783",,"21,628",,"1,409",,"23,037",,330235,,"726,316",,43.4108,-71.5653,"(43.4108, -71.5653)",689935,,36381,
NY,New York,10/1/2018,Y,P,N,,,975323,Includes Renewals and/or Redeterminations,"975,323",Includes Renewals and/or Redeterminations,"109,654",Includes Renewals and/or Redeterminations,"8,127",Includes Renewals and/or Redeterminations,"117,781",Includes Renewals and/or Redeterminations,2496549,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,"6,497,347",Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5866037,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,631310,
NY,New York,10/1/2018,Y,U,Y,,,975323,Includes Renewals and/or Redeterminations,"975,323",Includes Renewals and/or Redeterminations,"122,615",Includes Renewals and/or Redeterminations,"8,565",Includes Renewals and/or Redeterminations,"131,180",Includes Renewals and/or Redeterminations,2506540,Includes Limited-Benefit Enrollees,"6,519,452",Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5885738,Includes Limited-Benefit Enrollees,633714,
NC,North Carolina,10/1/2018,N,P,N,"21,329",,N/A,,"21,329",,"36,216",,"4,818",,"41,034",,1438391,,"2,044,442",,32.7673,-89.6812,"(32.7673, -89.6812)",1792316,,252126,
NC,North Carolina,10/1/2018,N,U,Y,"21,329",,N/A,,"21,329",,"36,216",,"4,818",,"41,034",,1466718,,"2,090,365",,32.7673,-89.6812,"(32.7673, -89.6812)",1831932,,258433,
ND,North Dakota,10/1/2018,Y,P,N,"2,186",,N/A,,"2,186",,"2,175",,62,,"2,237",,43542,,"92,526",,46.9048,-110.3261,"(46.9048, -110.3261)",90424,,2102,
ND,North Dakota,10/1/2018,Y,U,Y,"2,186",,N/A,,"2,186",,"2,175",,62,,"2,237",,43542,,"92,526",,46.9048,-110.3261,"(46.9048, -110.3261)",90424,,2102,
OH,Ohio,10/1/2018,Y,P,N,"74,112",Includes Renewals and/or Redeterminations,N/A,,"74,112",Includes Renewals and/or Redeterminations,"64,232",Includes CHIP; Includes Renewals and/or Redeterminations,"3,598",,"67,830",Includes Renewals and/or Redeterminations,1161655,,"2,700,359",,38.4199,-117.1219,"(38.4199, -117.1219)",2483492,,216867,
OH,Ohio,10/1/2018,Y,U,Y,"74,112",Includes Renewals and/or Redeterminations,N/A,,"74,112",Includes Renewals and/or Redeterminations,"64,232",Includes CHIP; Includes Renewals and/or Redeterminations,"3,598",,"67,830",Includes Renewals and/or Redeterminations,1161655,,"2,700,359",,38.4199,-117.1219,"(38.4199, -117.1219)",2483492,,216867,
OK,Oklahoma,10/1/2018,N,P,N,"46,695",Includes Renewals and/or Redeterminations,N/A,,"46,695",Includes Renewals and/or Redeterminations,"43,363",Includes Renewals and/or Redeterminations,"8,393",,"51,756",Includes Renewals and/or Redeterminations,513983,,"786,025",,42.1497,-74.9384,"(42.1497, -74.9384)",664168,,121857,
OK,Oklahoma,10/1/2018,N,U,Y,"46,695",Includes Renewals and/or Redeterminations,N/A,,"46,695",Includes Renewals and/or Redeterminations,"43,363",Includes Renewals and/or Redeterminations,"8,393",,"51,756",Includes Renewals and/or Redeterminations,513983,,"786,025",,42.1497,-74.9384,"(42.1497, -74.9384)",664168,,121857,
OR,Oregon,10/1/2018,Y,P,N,"13,381",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"13,381",Does Not Include All Non-MAGI Applications,"25,282","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,802",,"28,084",Does Not Include All Non-MAGI Determinations Made At Application,408826,,"961,833",,40.3736,-82.7755,"(40.3736, -82.7755)",837510,,124323,
OR,Oregon,10/1/2018,Y,U,Y,"13,712",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"13,712",Does Not Include All Non-MAGI Applications,"24,709","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,703",,"27,412",Does Not Include All Non-MAGI Determinations Made At Application,415900,,"976,814",,40.3736,-82.7755,"(40.3736, -82.7755)",850025,,126789,
PA,Pennsylvania,10/1/2018,Y,P,N,"87,125",Includes Renewals and/or Redeterminations,N/A,,"87,125",Includes Renewals and/or Redeterminations,"76,876",Includes Renewals and/or Redeterminations,"10,855",,"87,731",Includes Renewals and/or Redeterminations,1391595,,"2,944,846",,35.5376,-96.9247,"(35.5376, -96.9247)",2764865,,179981,
PA,Pennsylvania,10/1/2018,Y,U,Y,"100,808",Includes Renewals and/or Redeterminations,N/A,,"100,808",Includes Renewals and/or Redeterminations,"89,708",Includes Renewals and/or Redeterminations,"10,855",,"100,563",Includes Renewals and/or Redeterminations,1400058,,"2,967,378",,35.5376,-96.9247,"(35.5376, -96.9247)",2787397,,179981,
RI,Rhode Island,10/1/2018,Y,P,N,"2,252","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,252","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","2,765",,351,,"3,116",,122984,,"310,448",,44.5672,-122.1269,"(44.5672, -122.1269)",278209,,32239,
RI,Rhode Island,10/1/2018,Y,U,Y,"2,252","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,252","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","2,765",,351,,"3,116",,123462,,"311,844",,44.5672,-122.1269,"(44.5672, -122.1269)",279644,,32200,
SC,South Carolina,10/1/2018,N,P,N,"26,330",,N/A,,"26,330",,"7,330",Does Not Include All Medicaid Determinations Made At Application,271,Does Not Include All CHIP Determinations Made At Application,"7,601",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,641035,,"1,021,502",,40.5773,-77.264,"(40.5773, -77.264)",934495,,87007,
SC,South Carolina,10/1/2018,N,U,Y,"26,330",,N/A,,"26,330",,"7,330",Does Not Include All Medicaid Determinations Made At Application,271,Does Not Include All CHIP Determinations Made At Application,"7,601",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,641035,,"1,021,502",,40.5773,-77.264,"(40.5773, -77.264)",934495,,87007,
SD,South Dakota,10/1/2018,N,P,N,"2,872",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,872",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,733","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,733","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79095,,"116,730",,18.2766,-66.335,"(18.2766, -66.335)",100763,,15967,
SD,South Dakota,10/1/2018,N,U,Y,"2,872",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,872",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,733","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,733","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79095,,"116,730",,18.2766,-66.335,"(18.2766, -66.335)",100763,,15967,
TN,Tennessee,10/1/2018,N,P,N,367,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,367,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,316,,316,Does Not Include All Medicaid Determinations Made At Application,,,"1,388,989",,41.6772,-71.5101,"(41.6772, -71.5101)",1337152,,51837,
TN,Tennessee,10/1/2018,N,U,Y,367,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,367,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,316,,316,Does Not Include All Medicaid Determinations Made At Application,,,"1,393,623",,41.6772,-71.5101,"(41.6772, -71.5101)",1341006,,52617,
TX,Texas,10/1/2018,N,P,N,"124,263",,N/A,,"124,263",,"99,778",,"17,013",,"116,791",,3422390,,"4,333,994",,33.8191,-80.9066,"(33.8191, -80.9066)",3692032,,641962,
TX,Texas,10/1/2018,N,U,Y,"133,637",,N/A,,"133,637",,"99,824",,"17,013",,"116,837",,3435431,,"4,351,367",,33.8191,-80.9066,"(33.8191, -80.9066)",3732837,,618530,
UT,Utah,10/1/2018,N,P,N,"20,482","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"20,482","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","39,498",Includes CHIP,,,"39,498",,197837,,"291,250",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",246888,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44362,
UT,Utah,10/1/2018,N,U,Y,"20,970","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"20,970","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","39,498",Includes CHIP,,,"39,498",,199317,,"293,642",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",249051,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44591,
VT,Vermont,10/1/2018,Y,P,N,"3,345",,1219,,"4,564",Includes Renewals and/or Redeterminations,"3,839",Includes Renewals and/or Redeterminations,83,,"3,922",,63125,,"160,093",,31.106,-97.6475,"(31.106, -97.6475)",155664,,4429,
VT,Vermont,10/1/2018,Y,U,Y,"3,345",,1225,,"4,570",Includes Renewals and/or Redeterminations,"5,121",Includes Renewals and/or Redeterminations,122,,"5,243",,63492,,"161,162",,31.106,-97.6475,"(31.106, -97.6475)",156713,,4449,
VA,Virginia,10/1/2018,N,P,N,"22,016",Includes Renewals and/or Redeterminations,N/A,,"22,016",Includes Renewals and/or Redeterminations,"17,750",Includes Renewals and/or Redeterminations,803,Includes Renewals and/or Redeterminations,"18,553",Includes Renewals and/or Redeterminations,689069,,"1,035,179",,35.7449,-86.7489,"(35.7449, -86.7489)",897260,,137919,
