"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
OK,Oklahoma,11/1/2018,N,P,Y,"47,124",Includes Renewals and/or Redeterminations,N/A,,"47,124",Includes Renewals and/or Redeterminations,"37,726",Includes Renewals and/or Redeterminations,"7,463",,"45,189",Includes Renewals and/or Redeterminations,509835,,"779,128",,42.1497,-74.9384,"(42.1497, -74.9384)",657484,,121644,
OR,Oregon,11/1/2018,Y,P,Y,"12,661",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"12,661",Does Not Include All Non-MAGI Applications,"23,046","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","2,275",,"25,321",Does Not Include All Non-MAGI Determinations Made At Application,410560,,"967,235",,40.3736,-82.7755,"(40.3736, -82.7755)",842458,,124777,
PA,Pennsylvania,11/1/2018,Y,P,Y,"88,473",Includes Renewals and/or Redeterminations,N/A,,"88,473",Includes Renewals and/or Redeterminations,"61,142",Includes Renewals and/or Redeterminations,"8,883",,"70,025",Includes Renewals and/or Redeterminations,1387589,,"2,934,869",,35.5376,-96.9247,"(35.5376, -96.9247)",2754609,,180260,
RI,Rhode Island,11/1/2018,Y,P,Y,"2,803","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"2,803","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","4,190",,592,,"4,782",,122290,,"308,678",,44.5672,-122.1269,"(44.5672, -122.1269)",276462,,32216,
SC,South Carolina,11/1/2018,N,P,Y,"22,867",,N/A,,"22,867",,"6,614",Does Not Include All Medicaid Determinations Made At Application,282,Does Not Include All CHIP Determinations Made At Application,"6,896",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,640295,,"1,020,780",,40.5773,-77.264,"(40.5773, -77.264)",934015,,86765,
SD,South Dakota,11/1/2018,N,P,Y,"3,407",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"3,407",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,520","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,520","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78844,,"116,366",,18.2766,-66.335,"(18.2766, -66.335)",100426,,15940,
TN,Tennessee,11/1/2018,N,P,Y,,,N/A,,,,,,,,,,,,"1,381,351",,41.6772,-71.5101,"(41.6772, -71.5101)",1329295,,52056,
TX,Texas,11/1/2018,N,P,Y,"107,989",,N/A,,"107,989",,"82,156",,"13,575",,"95,731",,3403132,,"4,305,085",,33.8191,-80.9066,"(33.8191, -80.9066)",3663344,,641741,
UT,Utah,11/1/2018,N,P,Y,"24,556","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"24,556","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","35,781",Includes CHIP,,,"35,781",,195631,,"288,484",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",244367,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44117,
VT,Vermont,11/1/2018,Y,P,Y,"2,958",,1822,,"4,780",Includes Renewals and/or Redeterminations,"3,537",Includes Renewals and/or Redeterminations,89,,"3,626",,62605,,"158,298",,31.106,-97.6475,"(31.106, -97.6475)",153892,,4406,
